NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
SEA66A0043,ACC,1966-02-06T05:00:00Z,BONNEVILLE,Oregon,United States,N7067M,Fatal,4,0,0,,45.5371,-122.65,CESSNA,175,AIR,,,FALSE,1,,PERS,91,Destroyed,IFR,,state_centroid
MIA66F0439,ACC,1966-02-06T05:00:00Z,GAINSVILLE,Georgia,United States,N1527S,Minor,0,0,1,,33.7628,-84.422,BEECHCRAFT,P35,AIR,,GAINESVILLE,FALSE,1,,BUS,91,Substantial,VFR,,state_centroid
CHI66F0551,ACC,1966-02-06T05:00:00Z,NEGAUNE,Michigan,United States,N5632D,None,0,0,0,,42.3834,-83.1024,BEECHCRAFT,E-18S,AIR,,MARQUETTE COUNTY,FALSE,2,,BUS,91,Substantial,VFR,,state_centroid
DEN66D0275,ACC,1966-02-06T05:00:00Z,PEACH SPGS,Arizona,United States,N8509W,None,0,0,0,,33.5722,-112.0892,PIPER,PA-28,AIR,,,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
SEA66D0219,ACC,1966-02-05T05:00:00Z,CENTER ISLND,Washington,United States,N3495C,None,0,0,0,,47.6211,-122.3244,CESSNA,170B,AIR,,CENTER ISLAND,FALSE,1,,BUS,91,Substantial,VFR,,state_centroid
LAX66A0061,ACC,1966-02-05T05:00:00Z,ALPINE VIL,Nevada,United States,N7628W,Fatal,2,0,0,,36.2333,-115.2654,PIPER,PA-28,AIR,,,FALSE,1,,PERS,91,Destroyed,IFR,,state_centroid
NYC66A0085,ACC,1966-02-05T05:00:00Z,WAPPINGERS FLS,New York,United States,"N2328Q, N5686Z",Fatal,3,0,0,,40.6943,-73.9249,"BEECH, PIPER","23, PA-22","AIR,AIR",,DUTCHESS COUNTY,"FALSE,FALSE","1,1",,"PERS,PERS","91,091","Destroyed,Destroyed",VFR,",",state_centroid
CHI66F0582,ACC,1966-02-04T05:00:00Z,E ST LOUIS,Illinois,United States,N3984U,None,0,0,0,,41.8375,-87.6866,CESSNA,150E,AIR,,DOWNTOWN,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
FTW66F0517,ACC,1966-02-03T05:00:00Z,BAYOU SALE,Louisiana,United States,N1512F,None,0,0,0,,30.0687,-89.9288,CESSNA,185D,AIR,,,FALSE,1,,BUS,91,Substantial,VFR,,state_centroid
LAX66F0247,ACC,1966-02-02T05:00:00Z,CHIRIACO SUT,California,United States,N5660T,Minor,0,0,1,,34.1141,-118.4068,CESSNA,172,AIR,,,FALSE,1,,BUS,91,Substantial,VFR,,state_centroid
