NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
DCA21WA207,INC,2021-08-14T04:00:00Z,Guam,Pacific Ocean,United States,B-16227,,0,0,0,,40.0077,-75.1339,AIRBUS,321,AIR,,,FALSE,,,,NUSC,Minor,,EVA Air,state_centroid
OPS11IA246,INC,2011-01-21T00:35:00Z,80 SE of JFK (Atlantic Ocean),New York,United States,N766AN,None,0,0,0,Incomplete and incorrect coordination between air traffic controllers that resulted in the 777 and the two C17s being cleared to maintain the same altitude. Contributing to the incident was the controllers’ non-adherence to established communications phraseology and incorrect data entry into the radar data blocks for each aircraft.,40.6943,-73.9249,BOEING,777,,,,FALSE,,SCHD,,121,None,VMC,,state_centroid
OPS11IA101,INC,2010-11-12T00:31:00Z,66 NM East of Hobe Sound,Florida,United States,"N3742C, HK-4553",None,0,0,0,"Air traffic controllers did not maintain required awareness of available flight data and aircraft positions, resulting in issuance of an incorrect altitude clearance that caused a loss of standard instrument flight rules separation between the two aircraft.",25.784,-80.2101,"BOEING, AIRBUS","737-832, A319","AIR,AIR",,,"FALSE,FALSE","2,2",SCHD,"UNK,UNK","121,121","None,None",VMC,"DELTA AIR LINES INC,Avianca Airlines",state_centroid
CEN09IA254,INC,2009-04-08T01:00:00Z,Vick,Texas,United States,N295AE,None,0,0,0,Undetermined.,29.786,-95.3885,BELL,206,HELI,,,FALSE,1,NSCH,,135,Minor,VMC,"Air Evac EMS, INC.",state_centroid
DCA04IA018,INC,2004-01-19T17:20:00Z,Bangor,Massachusetts,United States,N734EK,None,0,0,0,Severe wear of the internal threads of the rudder interconnection contol rod which led to disengagement.,42.3188,-71.0852,Embraer,135,AIR,,,FALSE,,SCHD,,121,Minor,VMC,SIMMONS AIRLINES INC,state_centroid
CHI03FAMS1,ACC,2002-11-10T19:16:00Z,Unknown,Michigan,United States,N7091M,Fatal,2,0,0,Undetermined. Missing aircraft.,42.3834,-83.1024,Cessna,175,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD02LA032,ACC,2002-02-16T18:10:00Z,HARWINTON,Connecticut,United States,N81072,Minor,0,0,2,"pilot's failure to obtain adequate airspeed during take-off, which resulted in an aerodynamic stall.",41.7661,-72.6834,Grumman American,AA-5B,AIR,22B,MOUNTAIN MEADOW,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD02LA025,ACC,2002-01-14T13:10:00Z,OXFORD,Massachusetts,United States,N3997R,Minor,0,0,1,The pilot's delayed aborted landing and his failure to attain obstacle clearance.  The pilot's misjudgment of distance is a contributing factor.,42.3188,-71.0852,Piper,PA-28-180,AIR,43M,Oxford,FALSE,1,,BUS,91,Substantial,VMC,EAGLE EAST AVIATION,state_centroid
CHI01LA313,ACC,2001-09-03T14:48:00Z,Bloomfield,Wisconsin,United States,N7172B,Serious,0,2,0,Aircraft control not possible due to the inadvertent control interference by the front seat passenger.  Factors to the accident were the restricted control stick movement and the encountered stall.,43.0642,-87.9675,Gelasi,Aircamper,AIR,64C,Vincent Airport,TRUE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD01LA100,ACC,2001-08-25T07:37:00Z,AMHERST,New Hampshire,United States,N470SP,Fatal,1,0,0,"Suicide, when the pilot intentionally crashed his airplane into his house.",42.7491,-71.491,SOCATA,TB-20,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
IAD01LA056,ACC,2001-05-12T16:00:00Z,ASHLAND,Maine,United States,N1674E,Minor,0,0,1,loss of partial engine power due to carburetor icing.,43.6773,-70.2715,Cessna,172N,AIR,,,FALSE,1,,AOBV,91,Substantial,VMC,,state_centroid
IAD01LA016,ACC,2000-11-24T11:15:00Z,UNION,Connecticut,United States,N280H,Serious,0,1,1,"pilot's mismanagement of the available fuel supply, which resulted in a loss of engine power due to fuel starvation.",41.7661,-72.6834,Bellanca,BL-17-30A,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC01LA043,ACC,2000-11-21T10:00:00Z,LONDONDERRY,New Hampshire,United States,N8117Y,None,0,0,0,The pilot's failure to obtain the proper touchdown point.,42.7491,-71.491,Robinson,R-22,HELI,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
LAX01LA039,ACC,2000-11-13T21:48:00Z,PARUMPH,Nevada,United States,N911VH,None,0,0,0,"The pilot's failure to verify the presence of wires near the remote landing site during the high reconnaissance, and his misjudgement of the clearance from the ground during the attempted hovering turn to avoid the wire obstacle.  Factors were the dark night and the incorrect  information provided by the ground crew.",36.2333,-115.2654,Messerschmitt-Boelkow-Blohm,BO-105CBS-5,HELI,,,FALSE,2,,OWRK,91,Substantial,VMC,,state_centroid
MIA01FAMS1,ACC,2000-10-27T00:00:00Z,MISSING,Florida,United States,N11214,Fatal,1,0,0,undetermined.,25.784,-80.2101,Cessna,150,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
NYC01LA013,ACC,2000-10-15T10:07:00Z,SOUTHBOROUGH,Massachusetts,United States,N4381S,None,0,0,0,"A failed connecting rod assembly, with the initiating event undetermined.",42.3188,-71.0852,Piper,PA-28-181,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC01LA002,ACC,2000-10-02T13:10:00Z,LEICESTER,Massachusetts,United States,N5638D,Serious,0,1,0,"The pilot's failure to properly manage the fuel onboard the airplane, which resulted in fuel starvation, and a total loss of engine power.  A factor in the accident was the pilot's failure to maintain airspeed while maneuvering for a field.",42.3188,-71.0852,Maule,M-5,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC00LA244,ACC,2000-08-29T10:00:00Z,WINDSOR,New Hampshire,United States,N7664G,Minor,0,0,1,"the pilot's improper preflight planning to make a takeoff toward obstacles, and his delayed decision to abort the takeoff, which resulted in an overrun into unsuitable terrain.",42.7491,-71.491,Cessna,172L,AIR,NONE,NONE,FALSE,1,,PERS,91,Substantial,VMC,RICHARD P. HERMAN,state_centroid
LAX00LA315,ACC,2000-08-27T18:50:00Z,WESTMINISTER,California,United States,"N9PJ, N6225R",None,0,0,0,The pilot of the Pitts misjudged the clearance while maneuvering under the Cessna.,34.1141,-118.4068,"Pitts, Cessna","S1S, 172RG","AIR,AIR",,,"FALSE,FALSE","1,1",,"PERS,PERS","91,091","Substantial,Minor",VMC,",",state_centroid
MIA00LA251,ACC,2000-08-26T08:40:00Z,DAYTONA BCH SH,Florida,United States,N5117K,Minor,0,0,3,"a loss of engine power due to undetermined reasons, that resulted in the aircraft being ditched.",25.784,-80.2101,Ryan,NAVION A,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
DCA00MA080,ACC,2000-08-09T07:52:00Z,BURLINGTON TWP.,New Jersey,United States,"N27944, N2225G",Fatal,11,0,0,the failure of the pilots of the two airplanes to see and avoid each other and maintain proper airspace separation during visual flight rules flight.,40.2237,-74.7641,"Piper, Piper","PA-31 NAVAJO, PA-44 SEMINOLE","AIR,AIR",,,"FALSE,FALSE","2,",NSCH,"UNK,INST","135,091","Destroyed,Destroyed",VMC,"PATUXENT AIRWAYS, INC,HORTMAN AVIATION SERVICES",state_centroid
NYC00FA210,ACC,2000-07-26T19:05:00Z,LUNENBURG,Massachusetts,United States,N5727Q,Fatal,1,0,0,The pilot's inadequate preflight planning which resulted in exhaustion of the fuel supply.,42.3188,-71.0852,Mooney,M20E,AIR,,,FALSE,1,,PERS,91,Destroyed,IMC,,state_centroid
NYC00MA201,ACC,2000-07-19T00:31:00Z,LINNEUS,Maine,United States,CGNAK,Fatal,2,0,0,"The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control.  Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling.",43.6773,-70.2715,Grumman,G-159,AIR,,,FALSE,2,UNK,UNK,NUSC,Destroyed,IMC,,state_centroid
NYC00LA191,ACC,2000-07-11T10:05:00Z,HARPSWELL,Maine,United States,N2365S,Serious,0,1,0,The pilot-in-command's improper in-flight decision to maneuver at a low airspeed with a left-quartering tailwind which resulted in a loss of tailrotor effectiveness.,43.6773,-70.2715,Robinson,R-22B,HELI,,,FALSE,1,,UNK,91,Substantial,VMC,,state_centroid
NYC00LA186,ACC,2000-07-09T13:50:00Z,GREENLAND,New Hampshire,United States,N6057U,None,0,0,0,"The pilot-in-command's improper decision to takeoff uphill, on a short runway with 50-foot high utility wires at the end, at a high gross weight.  Factors were the high weight and uphill terrain.",42.7491,-71.491,Helfer,FLIGHTSTAR II,AIR,NONE,NONE,TRUE,1,,PERS,91,Substantial,VMC,,state_centroid
FTW00LA199,ACC,2000-07-08T19:40:00Z,CHASE,Louisiana,United States,N731DW,Minor,0,0,1,The failure of the pilot to maintain clearance with the deer stand.  Factors were the chemical covering the windshield and the glare from the setting sun.,30.0687,-89.9288,Cessna,A188B,AIR,,,FALSE,1,UNK,AAPL,137,Substantial,VMC,,state_centroid
IAD00LA052,ACC,2000-06-16T18:45:00Z,MANSFIELD,New Jersey,United States,N9014N,Minor,0,0,1,The pilot's failure to comply with published emergency procedures.  A factor in the accident was the pilot's inadequate preflight planning which resulted in a take-off with the inadequate amount of fuel for the flight.,40.2237,-74.7641,Hughes,269A,HELI,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
MIA00IA186,INC,2000-06-11T11:30:00Z,WATSON ISLAND,Florida,United States,N142PA,None,0,0,0,the overload separations of the control yoke on the captain's side.,25.784,-80.2101,Grumman,G-73T,AIR,,,FALSE,2,SCHD,UNK,121,Minor,Unknown,,state_centroid
NYC00LA113,ACC,2000-04-15T14:00:00Z,LANCONIA,New Hampshire,United States,N42383,Fatal,1,1,0,"The pilot's failure to maintain airspeed, which resulted in an inadvertent stall.",42.7491,-71.491,Piper,J3C-65,AIR,NONE,NONE,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
LAX00FA122,ACC,2000-03-06T18:20:00Z,CIMA,California,United States,N7586H,Fatal,1,0,0,In-flight collision with terrain for undetermined reasons.,34.1141,-118.4068,Piper,PA-12,AIR,,,FALSE,1,,POSI,91,Destroyed,VMC,,state_centroid
NYC00LA084,ACC,2000-02-22T18:35:00Z,CENTER HARBOR,New Hampshire,United States,N8366N,Minor,0,0,2,The pilot-in-command attempted a low pass and misjudged his altitude.,42.7491,-71.491,Piper,PA-28-181,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,JON EIFERT,state_centroid
NYC00FA068,ACC,2000-01-18T12:15:00Z,WILLARD,Kentucky,United States,N3448V,Fatal,1,0,0,The pilot's continued VFR flight into IMC conditions.  Factors were the pilot's inadequate preflight planning and snow showers.,38.1663,-85.6485,Cessna,195,AIR,,,FALSE,1,,PERS,91,Substantial,IMC,,state_centroid
NYC00LA061,ACC,1999-12-25T15:00:00Z,FLORENCE,New Jersey,United States,N8ZZ,Minor,0,0,1,"Failure of one of the propeller blades.  A factor was the necessity land across, rather than in alignment with, the furrowed terrain due to the nature of the emergency.",40.2237,-74.7641,Zielke,RV-4,AIR,,,TRUE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC00FA057,ACC,1999-12-20T15:00:00Z,N. STONINGTON,Connecticut,United States,N757NU,Fatal,1,0,0,The pilot's failure to maintain aircraft control while landing.  A factor in this accident was the pilot's lack of recent flight experience.,41.7661,-72.6834,Cessna,152,AIR,NONE,PRIVATE,FALSE,1,,PERS,91,Substantial,Unknown,,state_centroid
NYC00LA054,ACC,1999-12-17T16:00:00Z,NEW MILFORD,Connecticut,United States,N43TP,None,0,0,0,Failure of 3 of the 4 connecting rods for an undetermined reason.,41.7661,-72.6834,Mooney,20J,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
SEA00LA018,ACC,1999-11-13T12:20:00Z,MALHEUR CITY,Oregon,United States,N82553,Minor,0,0,1,"The pilot's excessive descent rate during an attempted precautionary landing. Factors include the pilot's intentional operation of his aircraft with a known electrical system deficiency, a malfunction of the electrical system while in flight, the pilot's failure to maintain clearance from an electrical transmission line while attempting a precautionary landing, and rough terrain conditions at the location where the landing was attempted.",45.5371,-122.65,Piper,PA18,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
CHI00FAMS1,ACC,1999-11-12T05:00:00Z,UNKNOWN,Michigan,United States,N6533E,Fatal,1,0,0,undetermined.,42.3834,-83.1024,Cessna,175,AIR,,,FALSE,1,,PERS,91,Destroyed,,,state_centroid
NYC00LA022,ACC,1999-10-30T15:30:00Z,MILAN,New Hampshire,United States,N228CH,Fatal,1,0,0,"The pilot's failure to maintain proper rotor rpm while maneuvering, which resulted in main rotor blade flapping, and its subsequent impact with the tail boom.  A factor was the pilot's lack of experience in maneuvering flight.",42.7491,-71.491,Godbout,EXEC 162F,HELI,,,TRUE,1,,PERS,91,Destroyed,VMC,,state_centroid
NYC00LA012,ACC,1999-10-10T13:00:00Z,WHITING,Vermont,United States,N403AC,None,0,0,0,"The pilot's inadequate preflight passenger briefing, which resulted in control interference.",44.4876,-73.2316,American Champion (ACAC),8GCBC,AIR,NONE,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC00LA011,ACC,1999-10-09T08:15:00Z,N. EAST CARRY,Maine,United States,N35669,None,0,0,0,The pilot's decision to attempt a takeoff under gusty wind and rough water conditions.,43.6773,-70.2715,Cessna,172I,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC00FA004,ACC,1999-10-04T17:50:00Z,KILLINGWORTH,Connecticut,United States,N121BG,Fatal,1,0,0,The pilot's failure follow the published instrument approach procedure.  A factor in the accident was the low cloud ceiling.,41.7661,-72.6834,Cessna,182R,AIR,3B9,CHESTER AIRPORT,FALSE,1,,PERS,91,Destroyed,IMC,,state_centroid
NYC99LA221,ACC,1999-09-06T08:00:00Z,WESTMORE,Vermont,United States,N8535B,Fatal,1,0,0,The pilot's failure to maintain adequate altitude/clearance from the trees.  A related factor was the pilot's lack of familiarity with the airplane.,44.4876,-73.2316,Valenza,VOLKSPLANE VP-II,AIR,,,TRUE,1,,FERY,91,Destroyed,VMC,,state_centroid
NYC99FA210,ACC,1999-08-24T16:30:00Z,SADDLE ISLAND,Maine,United States,N98PK,Fatal,1,0,0,The pilot's failure to maintain altitude/clearance from trees.,43.6773,-70.2715,Piper,PA-18-150,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
LAX99LA271,ACC,1999-08-17T16:09:00Z,CLEAR LAKE,California,United States,N206RR,None,0,0,0,The fracture and separation of the front left pontoon attach point due to corrosion.  The inability of the area to be inspected was a factor in the accident.,34.1141,-118.4068,Cessna,TU 206G,AIR,NONE,CLEAR LAKE,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC99LA200,ACC,1999-08-13T13:11:00Z,HILLSBOROUGH,New Hampshire,United States,N193GE,Minor,0,0,1,an inadequate auxiliary fuel tank installation which resulted in a leak of undetermined origin.,42.7491,-71.491,Cessna,208,AIR,,,FALSE,1,,FERY,91,Destroyed,VMC,RAM AERONAUTICAL,state_centroid
NYC99LA172,ACC,1999-07-11T14:30:00Z,ISLE OF WIGHT,Virginia,United States,N4595Z,None,0,0,0,The improper visual inspection of overhauled engine components by maintenance personnel.,36.7335,-76.0435,Piper,PA-22-108,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC99FA169,ACC,1999-07-06T16:45:00Z,WOODBRIDGE,New Jersey,United States,N4NJ,Minor,0,0,2,"The pilot's improper takeoff procedure, which resulted in a loss of tailrotor effectiveness.",40.2237,-74.7641,Bell,206L-3,HELI,,,FALSE,1,,PUBU,91,Substantial,VMC,,state_centroid
LAX99LA231,ACC,1999-06-25T10:30:00Z,SALINE VALLEY,California,United States,N8728Q,None,0,0,0,"The pilot's failure to verify the fuel quantity prior to departure, which led to fuel exhaustion.",34.1141,-118.4068,Cessna,TU206F,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC99LA112,ACC,1999-05-16T07:40:00Z,MONROE,Connecticut,United States,N194PA,Serious,0,1,0,The failure of the magneto (mag) cylinder bearing resulting in a total loss of power and subsequent forced landing.,41.7661,-72.6834,Abrams,TITAN TORNADO,AIR,,,TRUE,1,,PERS,91,Substantial,VMC,,state_centroid
FTW99LA137,ACC,1999-05-11T13:50:00Z,HUFFMAN,Texas,United States,N166MM,None,0,0,0,The pilot's inadequate compensation for the wind conditions during landing.  Factors were the wind gusts and the high vegetation beside the runway.,29.786,-95.3885,Air Tractor,AT-502A,AIR,NONE,SOUTH STOESSER AIRSTRIP,FALSE,1,UNK,AAPL,137,Substantial,VMC,M AND M AIR SERVICE,state_centroid
ATL99LA083,ACC,1999-05-11T10:00:00Z,TALLESSEE,Alabama,United States,N6111,Fatal,1,0,0,The pilot's failure to maintain flying speed during the takeoff to initial climb that resulted in the a stall and the inflight collision with the trees.,33.5279,-86.7971,Michael W. Campbell,LANCAIR 320,AIR,41A,REEVES AIRPORT,TRUE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC99LA102,ACC,1999-05-01T15:03:00Z,NEW MILFORD,Connecticut,United States,N400FJ,Minor,0,0,1,The manufacturer's use of inadequate adhesive material which resulted in the de-bonding and subsequent failure of the wing spar pin-lock assembly.,41.7661,-72.6834,Glaser-Dirks,DG-400,GLI,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
CHI99LA141,ACC,1999-05-01T14:15:00Z,MT. PLEASANT,Michigan,United States,N4659T,Minor,0,0,1,the inadequate rotor rpm by the pilot.,42.3834,-83.1024,BARRETT BENSEN,B-8,GYRO,,,TRUE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD99FA041,ACC,1999-05-01T13:34:00Z,HILLTOWN,Pennsylvania,United States,"N5171G, N47938",Fatal,3,0,0,The inadequate lookout of the pilots-in-command of the glider and the towplane.,40.0077,-75.1339,"Cessna, Burkhart Grob","305A, G-103 TWIN II","AIR,GLI",OPAP,PHILADELPHIA GLIDER COUNC,"FALSE,FALSE","1,",,"UNK,INST","91,091","Destroyed,Destroyed",VMC,",",state_centroid
FTW99LA126,ACC,1999-04-29T11:30:00Z,BASS,Arkansas,United States,N735B,None,0,0,0,"The pilot's failure to maintain aircraft directional control during landing roll on a gravel road.  Factors were the clouds and low ceilings, the low fuel status, and the gravel road condition.",34.7256,-92.3577,Beech,J35,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC99FA097,ACC,1999-04-25T13:00:00Z,EASTFORD,Connecticut,United States,N56RA,Fatal,1,0,0,"Inadequate welding of the airplane's spar-box by the owner/builder, which resulted in a total spar-box failure in-flight.  A factor in the accident was the pilot's decision to perform aerobatics.",41.7661,-72.6834,Ives,SONERAI II-L,AIR,,,TRUE,1,,PERS,91,Destroyed,VMC,,state_centroid
ATL99FA072,ACC,1999-04-19T12:46:00Z,RYDAL,Georgia,United States,N140SW,Fatal,2,0,0,"Fracture of the wing spar as a result of fatigue cracking that occurred over an unknown number of flights and flight hours with a wing loading spectrum not anticipated during design of the airplane.This report was modified on November 2, 2005.",33.7628,-84.422,Beech,T-34A,AIR,,,FALSE,1,,OWRK,91,Destroyed,VMC,,state_centroid
MIA99LA133,ACC,1999-04-19T07:30:00Z,THOMASTOWN,Mississippi,United States,N32PH,None,0,0,0,An in-flight loss of control caused by the main rotor severing the tail rotor drive shaft as a result of the pilot's cyclic pull-up into a tailwind for his second approach and landing. The loss of the tail rotor caused an uncontrollable descent and tree strike with the main rotor and in-flight collision with terrain. Contributing to the accident was the pilot's improper decision to make a downwind approach and landing.,32.3157,-90.2125,Bell,47G-3B1,HELI,,,FALSE,1,UNK,AAPL,137,Substantial,VMC,,state_centroid
LAX99FA129,ACC,1999-03-22T14:30:00Z,RANCHO CUCAMONG,California,United States,N67821,Fatal,1,0,0,the pilot's failure to maintain altitude/clearance from mountainous terrain for unknown reasons.,34.1141,-118.4068,Cessna,152,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,CABLEAIR,state_centroid
DEN99LA037,ACC,1999-02-07T09:27:00Z,CLIMAX,Colorado,United States,N586UA,Serious,0,1,0,The flight's encounter with turbulence.,39.762,-104.8758,Boeing,757-222,AIR,,,FALSE,2,SCHD,UNK,121,None,VMC,,state_centroid
NYC99FA041,ACC,1998-12-27T20:40:00Z,RANDOLPH,New Hampshire,United States,N4591J,Fatal,2,0,0,"The pilot's continued VFR flight into instrument meteorological conditions which led to spatial disorientation and loss of aircraft control.  Also causal was the pilot exceeded the design limits of the aircraft which resulted in an in-flight separation.  Contributing to the accident were the mountainous terrain, night conditions and the pilot's lack of instrument time.",42.7491,-71.491,Piper,PA-28R-180,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
NYC99LA034,ACC,1998-12-06T13:00:00Z,GARNER,Virginia,United States,N31253,None,0,0,0,A jammed right wheel for undetermined reasons.,36.7335,-76.0435,Univair,7GC-AA,AIR,NONE,GARNER FIELD,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC99FA033,ACC,1998-12-04T14:45:00Z,BROOKLYN,Connecticut,United States,N6166L,Fatal,1,0,0,"The student pilot's failure to maintain control of the airplane, resulting in an inadvertent stall/spin.",41.7661,-72.6834,Gulfstream American,AA-1,AIR,5B3,DANIELSON AIRPORT,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
DEN99LA008,ACC,1998-10-13T11:20:00Z,JACKSON HOLE,Wyoming,United States,N569C,Minor,0,0,2,"The pilot's inability to maintain adequate airspeed which resulted in an inadvertent stall/mush.  Factors contributing to the accident were the unfavorable weather condition, mountain wave and the high density altitude.",41.135,-104.7902,Stinson,108-3,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
NYC99FA007,ACC,1998-10-12T15:30:00Z,BENNINGTON,Vermont,United States,N1330F,Fatal,2,0,0,"The pilot's VFR flight into IMC.  Contributing factors were the pilot's lack of recent experience, mountainous/hilly terrain, and clouds.",44.4876,-73.2316,Cessna,172G,AIR,,,FALSE,1,,PERS,91,Destroyed,IMC,,state_centroid
IAD99LA002,ACC,1998-10-03T18:15:00Z,JAFFREY,New Hampshire,United States,N4285K,None,0,0,0,The pilot's inadequate aircraft preflight and subsequent failure to refuel the aircraft resulting in fuel exhaustion. A factor was the lack of suitable terrain to execute a forced landing.,42.7491,-71.491,Navion,A,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,"KROLL, TODD, J.",state_centroid
MIA99LA002,ACC,1998-10-02T17:02:00Z,POCAHONTAS,Mississippi,United States,N63447,Minor,0,0,2,The delay by the pilot-in-command (CFI) to abort the takeoff after the student landed slightly long and his delay to add power to perform a touch-and-go landing.,32.3157,-90.2125,Cessna,150M,AIR,,JOHN MOSLEY FIELD,FALSE,1,,INST,91,Substantial,VMC,,state_centroid
NYC98LA192,ACC,1998-09-26T16:30:00Z,WATERTOWN,Connecticut,United States,N72929,Minor,0,0,2,"Was the pilot's misjudged altitude of the airplane prior to performing a stall, and which resulted in the main landing gear contacting a rock wall.",41.7661,-72.6834,Cessna,140,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
ATL98LA128,ACC,1998-09-22T13:45:00Z,GOODWAY,Alabama,United States,N9774,Minor,0,0,1,"The pilot's continued approach into known adverse weather which resulted in the pilot's loss of control, and subsequent inflight collision with terrain. A factor was the weather conditions.",33.5279,-86.7971,Grumman-Schweizer,G-164A,AIR,PVT,BOOKER FLYING SERVICE INC,FALSE,1,UNK,AAPL,137,Substantial,VMC,ROY F. BEDGOOD,state_centroid
IAD98FA106,ACC,1998-09-07T19:45:00Z,CENTERVILLE,New York,United States,N9150X,Fatal,5,0,0,The pilot's inadvertent flight into adverse weather conditions.  Factors related to the accident were the pilot's failure to use weather detection equipment and use of airspeeds in excess of limitations.,40.6943,-73.9249,Piper,PA-46-350P,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
IAD98LA105,ACC,1998-08-29T19:00:00Z,FREEHOLD,New Jersey,United States,N9067F,Serious,0,1,0,The passenger's failure to secure himself during landing.,40.2237,-74.7641,Balloon Works,FIREFLY 7,BALL,,,FALSE,,,UNK,91,None,VMC,,state_centroid
IAD98LA102,ACC,1998-08-25T15:48:00Z,WESTPORT,Massachusetts,United States,N114LS,None,0,0,0,The flight instructor's failure to maintain control of the airplane and his delayed decision to go-around.  Factors related to the accident were the flight instructor's improper inflight decision to land downwind and his inadequate compensation for wind.,42.3188,-71.0852,Cessna,185,AIR,,,FALSE,1,,INST,91,Substantial,VMC,,state_centroid
NYC98LA168,ACC,1998-08-16T19:42:00Z,ERIAL,New Jersey,United States,N9364L,Minor,0,0,1,"Catastrophic failure of the number 2 engine cylinder, emanating from a corrosion pit on the outside cylinder wall.  A factor was the pilot's diminished forward visibility due to oil on the windshield.",40.2237,-74.7641,Gulfstream American,AA-1A,AIR,,,FALSE,1,,AOBV,91,Destroyed,VMC,,state_centroid
NYC98LA169,ACC,1998-08-16T12:30:00Z,JACKSON TWNSHP,New Jersey,United States,N89144,Serious,0,1,1,The flight (check pilot) instructor's excessive pull-up maneuver and his inadvertent entry into a low altitude stall/spin.,40.2237,-74.7641,Cessna,152,AIR,,,FALSE,1,,INST,91,Destroyed,VMC,,state_centroid
CHI98LA298,ACC,1998-08-03T12:15:00Z,W. FRANKFORT,Indiana,United States,N4596T,None,0,0,0,"The failure of the fuel mixture control linkage, and inadequate inspections by maintenance personnel.",39.7771,-86.1458,Piper,PA28-R-200,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC98FA161,ACC,1998-08-02T16:00:00Z,WORTHINGTON,Massachusetts,United States,N704ZY,Fatal,2,0,0,The pilot's failure to maintain airspeed due to diverted attention.,42.3188,-71.0852,Cessna,150M,AIR,,,FALSE,1,,AOBV,91,Destroyed,VMC,CHARIS AIR CORPORATION,state_centroid
IAD98LA083,ACC,1998-07-23T09:00:00Z,NEWBURG,Maine,United States,N5643V,Minor,0,0,1,"The pilot's failure to maintain directional control.  Related factors were the long, wet, unmowed grass runway.",43.6773,-70.2715,Maule,M-5-235C,AIR,PVT,MILLERS FIELD,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD98LA080,ACC,1998-07-19T19:50:00Z,SOMESVILLE,Maine,United States,N7694E,None,0,0,0,"The pilot's inadequate planning and decision, which fail to consider the effect of takeoff in the direction of the sunlight, which resulted in the pilot encountering sunglare and the loss of aircraft control.",43.6773,-70.2715,Aeronca,7FC,AIR,NONE,SOMES POND,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD98LA078,ACC,1998-07-09T13:00:00Z,PHILLIPS,Maine,United States,N6191V,Serious,0,2,0,Loss of engine power due to a separated oil line.  A related factor was the unsuitable field.,43.6773,-70.2715,Mastopietro,RANS S12,AIR,,,TRUE,1,,PERS,91,Substantial,VMC,RANDY D WALKER,state_centroid
ATL98LA100,ACC,1998-07-04T11:00:00Z,WISE,North Carolina,United States,N1401P,None,0,0,0,The pilot's improper turn during the takeoff that resulted in dragging the sponson.  A factor was the rough water caused by the boat wake.,35.2083,-80.8303,Aerofab Inc.,LAKE LA-4-250,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC98LA135,ACC,1998-06-28T13:45:00Z,WEST BUXTON,Maine,United States,N47893,Serious,0,1,0,"failure of the pilot to see-and-avoid power lines (inadequate visual lookout), as he was approaching to make a water landing on a river.",43.6773,-70.2715,Taylorcraft,BC12-65,AIR,,,FALSE,1,,INST,91,Substantial,VMC,,state_centroid
